# version, sha, gpg keys, dockerfile
7.2.33, 0f160a3483ffce36be5962fab7bcf09d605ee66c5707df83e4195cb796bbb03a, 1729F83938DA44E27BA0F4D3DBDB397470D12172 B1B44D8F021E4E2D6021E995DC9FF8D3EE5AF27F,
7.2.34, 409e11bc6a2c18707dfc44bc61c820ddfd81e17481470f3405ee7822d8379903, 1729F83938DA44E27BA0F4D3DBDB397470D12172 B1B44D8F021E4E2D6021E995DC9FF8D3EE5AF27F,
7.3.21, 4c8b065746ef776d84b7ae47908c21a79e3d4704b86b60d816716b8697c58ce9, CBAF69F173A0FEA4B537F470D66C9593118BCCB6 F38252826ACD957EF380D39F2F7956BC5DA04B5D, 7.3/Dockerfile
7.3.25, c71c00ad03079efb78d1a6b8623ca4f725be697dbd9a46debacbcc9a2475f329, CBAF69F173A0FEA4B537F470D66C9593118BCCB6 F38252826ACD957EF380D39F2F7956BC5DA04B5D, 7.3/Dockerfile
7.3.26, 2b55c2a54d1825e7c3feaf44cf42cdf782b8d5c611314172fbf8e234960b6a99, CBAF69F173A0FEA4B537F470D66C9593118BCCB6 F38252826ACD957EF380D39F2F7956BC5DA04B5D,
7.4.9, 23733f4a608ad1bebdcecf0138ebc5fd57cf20d6e0915f98a9444c3f747dc57b, 42670A7FE4D0441C8E4632349E4FDC074A4EF02D 5A52880781F755608BF815FC910DEB46F53EA312,
7.4.13, aead303e3abac23106529560547baebbedba0bb2943b91d5aa08fff1f41680f4, 42670A7FE4D0441C8E4632349E4FDC074A4EF02D 5A52880781F755608BF815FC910DEB46F53EA312,
7.4.14, d359183e2436f4ab30b70d4fbd881b5705a46b2e68cc6069fe91cd63d6e98e13, 42670A7FE4D0441C8E4632349E4FDC074A4EF02D 5A52880781F755608BF815FC910DEB46F53EA312,
8.0.1, f1fee0429aa2cce6bc5df5d7e65386e266b0aab8a5fad7882d10eb833d2f5376, 1729F83938DA44E27BA0F4D3DBDB397470D12172 BFDDD28642824F8118EF77909B67A5C12229118F,
